,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10
0,-0.27809367,-0.08586385,-0.5651455,0.12291301,-0.47520608,-0.44473863,0.23673567,-0.21134618,0.27449644,0.24098597
1,0.19591677,0.6035642,-0.48480332,-0.26399863,-0.63228834,-0.21473554,-0.14082322,-0.03974698,0.0761168,-0.5566939
2,0.6467383,-0.3037075,-0.9318773,0.80771416,0.06731799,0.09528381,0.32231227,-0.015932444,0.037939154,-0.2319523
3,0.44440156,-0.5356451,-0.0009957409,-0.043129887,-0.6285823,-0.17975396,0.19833733,-0.32578737,-0.034530275,0.07951288
4,0.42524004,0.34164163,-0.07442814,-0.7915643,0.61668795,0.32566127,0.28726888,0.705071,0.096252665,0.32044268
5,-0.23402847,0.25132096,0.26492625,0.20222232,-0.078452885,0.45116073,0.7116649,-0.94632924,-0.34231788,0.30937496
6,-0.5882794,0.31849495,-0.4058904,0.25352222,-0.037959393,-0.00669108,-0.16548283,0.27523202,0.24849708,0.1591456
7,0.1582278,-0.38359472,-0.11337601,-0.3378005,-0.18264174,0.23923434,-0.5864668,-0.18455796,-0.26559418,-0.84033376
8,0.03830291,-0.00807881,0.9947498,0.69504833,0.3804658,0.18412085,0.01280828,0.109635286,-0.30466297,0.1266693
9,-0.0097762905,-0.069107756,0.35178903,0.30245382,-0.5658728,-0.40085277,0.28140566,-0.15339985,-0.4441798,-0.49690175
10,0.7361612,0.6151514,0.33803266,-0.5612753,-0.55156404,0.11941969,0.37392634,0.054004986,0.36910522,-0.35595208
11,0.47309303,-0.18167695,-0.0012399601,0.3628901,0.17608933,-0.5194691,0.07253403,0.62468195,-0.28887638,-0.31446877
12,-0.2243128,0.071393214,0.039654855,-0.8520928,0.19645849,0.18317783,0.3176112,-0.32442418,0.11689436,-0.49540675
13,0.3964536,-0.2809042,-0.2167304,-0.49554485,-0.20450516,-0.76016176,-0.5515617,-0.39540774,-0.12501858,0.5307454
14,-0.2205484,-0.262296,0.04506572,0.3212762,-0.7894444,-0.0032207465,0.114750564,-0.3243664,-0.103976116,-0.66791517
15,-0.07018858,0.20459983,-0.71987784,-0.17438342,-0.35748172,0.60343397,-0.027428914,0.049595367,-0.53688544,0.15617193
16,0.19398643,-0.5565105,-0.32580814,-0.15717168,-0.36509722,0.062194988,-0.060556404,0.5939696,0.41220978,-0.46302608
17,0.44579765,-0.12978083,0.5905395,-0.3553441,-0.6907179,-0.3168965,0.3219449,-0.16723852,-0.30409303,0.4984267
18,-0.87941957,-0.52956545,0.09534543,-0.27237904,0.17371985,0.19213909,-0.5975773,0.024903316,-0.48513725,0.079216056
19,-0.25093475,-0.30228952,-0.57337934,-0.30594257,0.5772471,-0.2196874,-0.34975526,0.1666023,-0.55954903,0.43532234
20,-0.006379525,0.07445387,-0.48177692,-0.0027354625,-0.15629856,-0.35966867,0.2943622,-0.059685804,0.03404848,0.020875465
