,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20
0,-0.0826887,0.4384359,0.32708445,0.007437776,-0.14783575,0.09175351,-0.8460318,-0.030880535,-0.008962149,0.7117812,0.39489025,-0.014287504,-0.09053518,0.29062504,-0.06218147,-0.325062,-0.2560034,0.21591116,-0.15472329,-0.5210388
1,-0.54904693,-0.24303864,0.35474417,0.70493907,0.03346824,0.3171223,0.11146693,0.4211037,0.31244078,0.31535023,-0.21456693,-0.27878687,-0.40400043,0.45262575,-0.4571339,-0.23523098,0.3236277,0.08718163,0.32059422,0.6993941
2,0.24480188,0.35997233,-0.43075058,0.14758852,0.14939927,0.84297353,-0.4716618,-0.40934423,-0.7368021,-0.20429443,-0.09884773,0.7141551,-0.4651616,-0.050455444,0.29980636,-0.44825712,0.08795642,0.23862667,0.015041854,0.39197204
3,-0.24195322,0.369405,-0.05258105,-0.44624346,0.03457805,-0.09821511,0.62761486,-0.18099861,0.5016177,-0.5467039,0.22471821,0.048025876,1.1571637,0.2982412,-0.24169895,-0.46875456,0.48845035,-0.14626336,0.005154777,-0.023469446
4,-0.38031563,0.20734031,-0.059084944,0.7274509,0.054221917,0.23009734,0.022890866,0.3624827,-0.44346523,-0.6176913,-0.031979267,0.20513442,-0.03565381,-0.5456301,0.17645134,-0.70051545,0.20956114,-0.08669139,0.3927508,0.14787155
5,0.43078342,0.10489571,-0.44895986,-0.4180597,0.22508882,-0.0771505,-0.026610438,0.019290127,-0.1994915,0.21147363,-0.51427156,-0.0076792603,0.24205175,0.13856237,0.18147476,0.29566997,-0.019795934,0.009030188,0.21877116,0.5076965
6,-0.44905573,0.10722591,0.18307194,0.05928532,0.69268435,-0.11343294,0.088920146,-0.12271967,0.531262,-0.6965691,0.39485255,0.24769682,-0.27219465,-0.04261806,0.024028014,0.6605367,-0.023023548,0.3008917,-0.27760115,0.039860405
7,0.3319881,0.3337195,0.13418454,0.094067425,-0.14402074,0.12865779,-0.41126117,0.38602638,-0.34901735,0.4179957,-0.46106216,0.541306,-0.64506865,0.16640605,-0.077855475,-0.047495887,-0.34879497,-0.1115353,0.6771877,0.16268918
8,0.24619034,-0.6560354,0.008775676,0.103558175,0.50633675,-0.11944493,-0.11102792,-0.11598354,-0.020181831,0.42268953,0.5880344,-0.42968586,0.08231759,0.58348113,-0.06273141,0.09699513,0.1732473,0.15476178,-0.08906035,0.47732443
9,-0.29493582,-0.17465757,-0.0060513904,0.19437593,0.07735254,-0.45403478,0.49072906,0.6057123,-0.34908077,-0.38579336,-0.4145944,-0.48883447,-0.30364543,-0.16926049,0.19080548,0.34180102,0.11507554,-0.11178685,-0.397661,0.7729194
10,0.2727923,0.051787376,-0.3854333,0.38871124,0.66908735,0.3717955,0.52394205,0.47336224,0.34863478,-0.14712262,-0.17700689,-0.20536947,-0.2863647,-0.01336826,-0.093884155,-0.4548933,0.2961333,0.91420895,0.17437871,0.5809853
11,-0.06605909,-0.19870727,0.46845675,0.96470535,0.56951034,0.10732399,-0.015667528,0.16863948,0.39911202,-0.53161937,0.30925268,0.39663905,0.15980901,0.35622373,-0.2755955,0.120217115,-0.23609848,0.11552667,0.31044418,-0.07527039
12,-0.42403823,-0.15309636,0.0009092524,0.20669074,-0.45848927,-0.17052446,-0.40043873,-0.2782204,-0.14167193,0.06251606,0.14935832,-0.13891122,0.11895377,-0.24114753,0.54276437,0.13013612,0.143439,-0.24789391,0.50672644,0.82651794
13,0.24421112,0.3178197,-0.087172315,-0.08176617,-0.32201025,0.18162657,0.17814326,0.18968864,0.40322706,0.611081,-0.033481475,0.8667025,-0.6377939,-0.32953802,0.13968895,-0.055336602,-0.12347903,-0.07279759,-0.19491477,-0.18562235
14,0.33249477,0.52701306,-0.54759437,-0.17723224,-0.1241163,-0.07194119,0.7228109,-0.23569088,0.6448923,-0.08022569,-0.32079637,-0.5332405,0.02720761,0.33211428,-0.1724081,-0.08853129,0.2859522,-0.11891606,-0.44303435,0.24368404
15,-0.07663157,0.13696374,-0.24665771,-0.5923671,-0.49775696,0.003933339,0.4436266,0.30956864,-0.037292875,0.059477642,0.17458111,0.26030532,0.044389777,-0.124975845,0.2005074,-1.2308375,-0.081179775,-0.38601497,-0.34092477,0.28970286
16,-0.52730536,0.46310505,0.27948138,0.513489,-0.8001568,0.111328796,-0.1803033,-0.56522435,0.06803543,0.9035867,0.21794768,0.19352618,0.090257145,-0.39030257,0.38157293,0.110825,0.26461455,0.20768087,0.5247625,0.1691896
17,-0.5558472,0.11567027,-0.5144071,0.35486072,0.35951197,0.5975653,-0.3331058,0.089842536,-0.098388046,-0.12542613,-0.20381702,0.0774639,-0.22378592,-0.60285276,0.3281259,-0.027656348,0.6939725,-0.36186153,-0.10350893,0.07919739
18,-0.08181887,0.06938715,0.091971226,-0.29879108,0.17415006,0.21210206,0.28374273,0.5544121,0.5370305,0.06539851,-0.5139076,0.100969106,-0.1305363,0.35020402,-0.49539125,-0.22870001,0.11146904,0.4794181,-0.29098842,-0.15556501
19,0.33713216,0.5120779,-0.19114424,0.49378592,0.25166103,0.19335435,-0.47506103,-0.3940491,0.31681907,0.2248856,-0.4227378,-0.5687138,0.048978288,-0.549149,-0.0043706708,-0.09351308,-0.54106444,0.46583274,-0.23364832,-0.29304048
20,-0.0766867,-0.17916328,0.40362084,-5.042091e-05,0.28531155,-0.41607475,-0.21472237,-0.06965063,-0.40678236,0.090353295,0.5138041,0.42996097,0.13619043,-0.30128378,-0.07498711,0.6044089,-0.47183287,0.3347402,0.40054056,0.6418596
21,0.17788464,-0.118233494,0.045158207,0.42236462,0.1246462,-0.034697384,0.062027086,-0.47763708,0.1875895,-0.19948651,0.0073678344,0.1343136,-0.050786212,0.15055607,0.7746129,0.49450406,-0.08430076,-0.39250314,0.26946026,-0.5048728
22,0.34187555,0.15395671,-0.3633675,0.2648737,-0.19361949,-0.112084165,0.21663448,0.23857653,-0.5822818,0.17286852,-0.3951986,0.523809,0.11512551,-0.67424136,0.3477148,-0.09449176,-0.22161366,-0.59014297,0.20165089,0.18817721
23,-0.04269229,-0.24280481,0.31681052,-0.3060186,-0.45662045,-0.013460716,0.3366654,0.06643182,-0.3116776,0.51903635,-0.24524125,-0.18476748,-0.7862571,0.57116723,-0.4209788,0.23811111,0.2198347,-0.044904605,-0.21742143,-0.20571512
24,0.15254186,0.6086971,0.11674065,0.13722464,0.39869034,0.19763084,-0.4989387,-0.3778927,-0.24083132,0.32158715,-0.10419812,0.29891452,0.3931081,0.3946279,0.24381702,-0.01800357,-0.2850255,0.16319539,0.28733745,0.12578854
25,0.079966195,-0.20430818,-0.054956976,0.12516806,0.31155083,0.36418185,0.21507752,0.18165372,0.24919854,4.4626067e-06,-0.21999122,0.40334815,-0.39283141,0.008635567,-0.07462393,0.111705385,0.12963206,0.70144796,-0.5637554,0.13920783
26,-0.37759385,-0.4191243,-0.36060828,-0.6478742,-0.15163985,0.16765648,-0.3110224,-0.13631593,-0.19894445,0.42094278,-0.69351065,-0.1408631,0.65092945,-0.463743,-0.026604444,0.067833185,0.5603892,0.19029136,0.22695144,0.054883637
27,0.3125609,0.30144566,0.11295444,0.34614962,0.15415928,0.11640556,0.100308776,-0.51010346,-0.42208067,0.66933596,0.36657226,0.56901443,-0.6185958,-0.11908551,0.23631088,0.801915,0.076388635,0.09820756,0.33431408,-0.06928659
28,0.59983134,-0.46405318,-0.048412677,-0.15451448,-0.08420119,-0.49542144,-0.04389664,-0.3671823,0.040144198,-0.6133347,0.2295504,-0.5212634,0.6755497,0.2374488,0.001828442,-0.11738558,-0.27642092,-0.2917292,-0.27848282,-0.32991344
29,0.30666032,-0.5019261,-0.4950853,-0.24268833,0.057429723,-0.080519274,0.11018383,0.7090177,0.14508031,-0.4865704,-0.29512733,-0.025752664,-0.24950723,-0.6381068,-0.24474806,-0.15715201,-0.004889085,-0.5603346,-0.68466085,-0.05475771
